Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods
18.85,1,0.138190277,250.8724,1987,3,3,1,3775.086,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14.6,0,0.025698134,196.5084,2004,1,2,1,1587.2672,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.85,1,0.025896485,165.021,1997,1,1,1,4078.025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.645,1,0.066693437,42.3112,2004,1,2,1,1065.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.65,0,0.019356132,39.1164,1987,3,3,1,308.9312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18.6,0,0.080829372,96.4436,2009,2,3,2,2741.7644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.7,0,0.0,256.6672,2009,2,3,2,3068.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.5,0,0.097904029,174.8738,1997,1,1,1,2085.2856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.0,0,0.089291137,146.7102,1999,2,1,1,3791.0652,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.85,1,0.113123893,122.5388,2009,2,3,2,1609.9044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13.35,0,0.102511504,230.6352,1997,1,1,1,3435.528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.8,0,0.02681843,126.002,1987,3,3,1,2150.534,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13.6,0,0.117818348,192.9136,1999,2,1,1,2527.3768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.35,0,0.069102831,259.9278,2009,2,3,2,6768.5228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.15,1,0.042277867,126.5046,1987,3,3,1,373.5138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.85,1,0.121632721,60.622,1997,1,1,1,2576.646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.39,0,0.067779712,143.8812,1997,1,1,1,3134.5864,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.195,0,0.159803853,141.5154,1987,3,3,1,850.8924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.895,1,0.028696932,117.0492,1987,3,3,1,810.9444,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.905,0,0.010053105,249.0408,2009,2,3,2,6258.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.365,0,0.071958197,38.0506,1999,2,1,1,796.9626,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15.1,0,0.173481304,194.511,1997,1,1,1,4910.275,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.0,0,0.0,246.9144,2009,2,3,2,3185.1872,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19.35,0,0.033082215,172.5738,2004,1,2,1,4865.6664,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8.645,0,0.143422643,95.841,1997,1,1,1,2027.361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.6,1,0.105296072,170.1764,1997,1,1,1,3435.528,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15.85,1,0.121531501,59.222,1987,3,3,1,599.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.825,0,0.186357148,254.3698,1999,2,1,1,5580.7356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.39,1,0.024205661,114.0176,1997,1,1,1,2290.352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.85,0,0.033230816,172.3422,1999,2,1,1,1207.0954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.76,0,0.059352241,101.87,1997,1,1,1,1697.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.8,1,0.014087057,180.3344,1997,1,1,1,1427.4752,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16.75,0,0.045230944,187.9556,2009,2,3,2,4693.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.055,0,0.025403898,160.992,2004,1,2,1,2716.464,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.305,1,0.123115764,95.6436,1997,1,1,1,661.8052,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20.85,0,0.039624006,117.2808,1999,2,1,1,1523.3504,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8.895,0,0.105274111,39.9138,1999,2,1,1,690.4346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.7,0,0.053212652,57.893,2004,1,2,1,622.523,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.8,0,0.024378706,114.5492,2004,1,2,1,1274.3412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.15,0,0.131383762,246.046,1999,2,1,1,1231.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.75,1,0.07461309,187.4556,2004,1,2,1,3755.112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.75,1,0.074627201,187.8556,1997,1,1,1,1314.2892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.31,1,0.115857223,179.1028,1999,2,1,1,3896.2616,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.75,1,0.024832806,38.7822,1987,3,3,1,667.7974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19.75,0,0.034027909,212.0902,2009,2,3,2,3185.853,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.1,1,0.0467696,141.1838,1987,3,3,1,2247.7408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.5,1,0.116576702,163.121,1987,3,3,1,1794.331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.15,0,0.035913805,41.4138,1987,3,3,1,812.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13.3,0,0.079806266,232.53,1997,1,1,1,699.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0.032677678,239.0906,1999,2,1,1,5942.265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.485,0,0.06911065,109.0228,2004,1,2,1,2542.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.65,0,0.040081193,227.0694,2009,2,3,2,1141.847,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.6,1,0.040197932,190.153,2004,1,2,1,3036.048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.7,0,0.01161096,95.041,2004,1,2,1,868.869,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.15,0,0.183507295,82.4276,1997,1,1,1,1137.1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.88,0,0.086708987,151.7682,1987,3,3,1,762.341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13.5,0,0.07266912,160.292,1997,1,1,1,1438.128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7.855,0,0.011307038,188.5188,2009,2,3,2,952.094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.235,0,0.076855628,116.0492,1997,1,1,1,1969.4364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.02,0,0.019866705,154.5972,2004,1,2,1,1402.1748,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.6,0,0.027622076,177.6344,1999,2,1,1,2676.516,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.0,1,0.0,53.064,2004,1,2,1,905.488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.6,0,0.039355947,246.3802,1999,2,1,1,7370.406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16.0,0,0.060836524,226.8404,2004,1,2,1,6301.1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.6,0,0.082316506,160.692,2004,1,2,1,1597.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.25,0,0.155350299,178.237,2004,1,2,1,529.311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.235,0,0.076841095,117.5492,2004,1,2,1,1969.4364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.85,1,0.026001976,161.521,2009,2,3,2,1794.331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.65,1,0.073209447,197.6426,2009,2,3,2,2768.3964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.365,0,0.042560252,226.172,1997,1,1,1,3169.208,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.35,0,0.014081156,223.5746,2009,2,3,2,3589.9936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.465,1,0.0,132.5626,2009,2,3,2,262.3252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,1,0.060376776,154.5656,1987,3,3,1,2471.4496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.0,1,0.04192285,54.764,1987,3,3,1,1331.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.905,0,0.045838211,222.5456,2009,2,3,2,3315.684,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.27,0,0.071077939,114.2518,1997,1,1,1,2618.5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.155,1,0.094659871,214.556,1997,1,1,1,2769.728,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12.15,1,0.042485444,125.0046,2009,2,3,2,1743.0644,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.6,0,0.0489808,61.9194,2009,2,3,2,619.194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0.019471688,164.821,2004,1,2,1,2120.573,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11.8,1,0.057373797,151.4366,1987,3,3,1,1360.2294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13.1,1,0.044155597,178.8318,1987,3,3,1,3969.4996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.75,1,0.075107656,112.8176,1987,3,3,1,1374.2112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.35,1,0.045165796,100.0016,2009,2,3,2,1012.016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14.0,0,0.028907832,130.431,1999,2,1,1,778.986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.525,0,0.090436094,85.0882,1999,2,1,1,2233.0932,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10.3,0,0.146399712,103.9648,1999,2,1,1,1661.8368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.78,1,0.074264356,264.7568,1999,2,1,1,4745.8224,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.35,0,0.020631654,50.1324,2009,2,3,2,467.3916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.5,0,0.041395445,37.6164,1997,1,1,1,540.6296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19.0,1,0.097313129,48.0718,1997,1,1,1,992.7078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.6,0,0.059582996,238.8538,1999,2,1,1,6008.845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.26,1,0.041764487,161.8868,2004,1,2,1,3275.736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.1,0,0.052339069,242.7512,1997,1,1,1,4119.9704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13.65,0,0.065732883,45.7402,1999,2,1,1,780.9834,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.5,0,0.041878397,32.99,2004,1,2,1,133.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13.8,0,0.058091482,245.1802,2004,1,2,1,5650.6446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17.2,0,0.15616879,160.6578,1987,3,3,1,3690.5294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.32,0,0.0,40.2822,2004,1,2,1,1139.1838,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.88,1,0.133700752,52.9298,1999,2,1,1,1995.4026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.85,1,0.110030997,37.2506,1997,1,1,1,265.6542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.65,0,0.062837968,161.5578,1987,3,3,1,2406.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.75,0,0.024129332,124.173,1987,3,3,1,2956.152,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.0,0,0.0,79.7644,2004,1,2,1,1649.8524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.55,0,0.027164679,152.334,2004,1,2,1,2603.278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0.099325278,45.406,1997,1,1,1,605.878,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.3,1,0.064565202,92.9804,1987,3,3,1,1929.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.85,0,0.052044976,192.1846,2004,1,2,1,3248.4382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.1,0,0.087977262,229.0668,2004,1,2,1,3225.1352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.905,0,0.010010425,249.0408,2004,1,2,1,3755.112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12.0,0,0.033946163,179.3976,1987,3,3,1,3440.8544,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.15,1,0.058414678,163.4552,2004,1,2,1,974.7312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.1,0,0.027106459,75.367,1999,2,1,1,535.969,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17.1,0,0.128937661,112.3886,2009,2,3,2,1779.0176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.785,0,0.088846306,61.451,1999,2,1,1,759.012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.8,1,0.09357779,125.9704,1987,3,3,1,1877.556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.645,0,0.143303291,96.341,1987,3,3,1,193.082,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.8,1,0.023511371,225.9404,1987,3,3,1,4950.8888,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.63,0,0.06105276,95.4436,2004,1,2,1,1418.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16.35,0,0.090486828,195.211,1987,3,3,1,2553.343,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.6,0,0.056245075,43.3454,1987,3,3,1,1006.6896,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.975,0,0.014618973,85.225,1987,3,3,1,1081.925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.7,0,0.045166237,178.666,1987,3,3,1,2516.724,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.985,1,0.057827101,128.831,1997,1,1,1,1428.141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20.35,0,0.089394766,260.1594,1987,3,3,1,2093.2752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.59,0,0.10550944,85.6908,1987,3,3,1,1929.4884,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19.85,0,0.005234153,264.0884,2004,1,2,1,5829.7448,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.85,0,0.036390174,91.4488,1997,1,1,1,2082.6224,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.75,0,0.081252534,256.4988,1987,3,3,1,7452.9652,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.785,1,0.038288087,103.1964,2009,2,3,2,736.3748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.825,0,0.186032678,253.0698,2004,1,2,1,6088.0752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.26,1,0.009866049,151.1366,2004,1,2,1,2267.049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13.0,0,0.099729888,46.306,2009,2,3,2,559.272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.25,1,0.018801549,222.1772,2004,1,2,1,5559.43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.695,0,0.119721451,95.5094,1999,2,1,1,1237.7222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7.075,0,0.05858462,142.7128,2009,2,3,2,1869.5664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.195,0,0.031452265,94.3462,1999,2,1,1,925.462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.09,0,0.00721395,47.9034,2004,1,2,1,583.2408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.095,0,0.081196619,141.4154,1997,1,1,1,1418.154,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.15,0,0.04627095,99.3384,1997,1,1,1,2364.9216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7,0,0.012540003,167.0474,2004,1,2,1,5895.659,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.85,0,0.147023834,93.7436,2009,2,3,2,1134.5232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.075,0,0.0,98.0068,2009,2,3,2,874.8612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.445,0,0.029691762,92.6436,1997,1,1,1,1039.9796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.1,0,0.096715523,235.0958,2004,1,2,1,3038.0454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.25,1,0.014790559,193.6162,2004,1,2,1,3848.324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.0,1,0.054378253,59.1904,1997,1,1,1,527.3136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.67,1,0.123428594,89.1514,1997,1,1,1,2390.8878,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.7,1,0.052368061,112.7176,1987,3,3,1,801.6232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.695,1,0.12848269,223.9404,1999,2,1,1,4950.8888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.85,0,0.021362955,103.2306,1999,2,1,1,2404.2038,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.35,0,0.032511818,165.0842,1987,3,3,1,994.7052,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.7,0,0.09261307,76.367,1987,3,3,1,306.268,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0.04709821,101.3016,1997,1,1,1,3339.6528,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17.35,1,0.062799379,88.183,1987,3,3,1,539.298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.285,0,0.031125709,174.3054,1987,3,3,1,4377.635,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.85,0,0.107765165,59.5904,1999,2,1,1,703.0848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.17,0,0.010647477,66.3826,1999,2,1,1,1937.478,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19.5,0,0.015749341,182.2608,1999,2,1,1,3307.6944,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.2,0,0.077628053,197.611,1999,2,1,1,3142.576,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.7,0,0.0,181.2292,2009,2,3,2,2554.0088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20.85,1,0.056695731,104.0648,2009,2,3,2,1869.5664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.395,1,0.069529262,233.1616,1987,3,3,1,6093.4016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.97,0,0.034452949,174.0422,1997,1,1,1,2586.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.71,1,0.06670068,55.2956,1999,2,1,1,1255.6988,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19.25,1,0.034699737,141.7496,1997,1,1,1,4093.3384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.075,0,0.058346939,142.2128,1997,1,1,1,3163.8816,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.6,1,0.078929571,79.9276,1997,1,1,1,1137.1864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.1,0,0.016895293,178.566,2009,2,3,2,898.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.0,0,0.073379745,118.244,1997,1,1,1,2756.412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.395,0,0.112271498,58.222,1999,2,1,1,659.142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.1,0,0.127929521,211.4902,1987,3,3,1,3610.6334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.05,1,0.07838564,256.4646,2004,1,2,1,5153.292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.7,1,0.047684831,212.5876,2009,2,3,2,1286.3256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,0,0.065236932,176.437,2004,1,2,1,7763.228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.785,1,0.041947547,41.2112,1987,3,3,1,809.6128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19.5,0,0.082888496,178.6002,2009,2,3,2,1253.7014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.575,0,0.055390121,195.2768,1997,1,1,1,5715.2272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.2,1,0.012194556,57.7904,1987,3,3,1,1464.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.75,0,0.060495243,169.8106,1987,3,3,1,3251.1014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.47,1,0.0,214.3218,2004,1,2,1,4274.436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.85,1,0.085622362,119.4124,2009,2,3,2,2251.7356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.11,1,0.102920886,130.4968,1997,1,1,1,3523.4136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15.25,0,0.026604781,86.2198,2004,1,2,1,610.5386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15.85,0,0.0,96.4094,2004,1,2,1,1237.7222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20.75,0,0.021250002,150.5024,1997,1,1,1,2580.6408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.195,0,0.159936948,143.2154,1997,1,1,1,2552.6772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.0,1,0.142688846,88.5514,1997,1,1,1,796.9626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.59,0,0.105761491,84.8908,1999,2,1,1,1677.816,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13.8,1,0.056960814,230.0984,1999,2,1,1,3707.1744,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.2,1,0.00704098,173.5738,1997,1,1,1,2954.1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.5,1,0.011026594,166.4842,2009,2,3,2,2652.5472,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13.65,0,0.015908424,231.1668,2004,1,2,1,6911.004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,0,0.017719277,211.0244,1997,1,1,1,3811.0392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.865,0,0.056919038,212.8218,1999,2,1,1,5770.4886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.8,1,0.048143292,40.2138,1997,1,1,1,690.4346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7,0,0.022047313,110.2886,1987,3,3,1,1890.2062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.15,0,0.027779254,150.1708,1997,1,1,1,1504.708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
